Year,Rk,Player Name,Team Name,Team Rank,Pos,Pos2,Wt,Bats,Throws,Born Date,Place Of Birth,DraftYear,Round,Pick,Team,HiLvl,RookieYear,LastMLBSeasonToDate,BATop100,BATeam,BPTop100,FGTop100,MLBPipelineTop100,MLBPipelineTeam,Made_MLB
2010,1,Jason Heyward,Atlanta Braves,1,RF-OF,RF,220,L,L,8/9/89,"McDonough,GA",2007,1,14,ATL,MLB,2010,2020,1,1,NA,NA,NA,NA,1
2010,3,Giancarlo Stanton,Florida Marlins,1,DH-OF,RF,210,R,R,11/8/89,"Panorama City,CA",2007,2,76,MIA,MLB,2010,2020,3,1,NA,NA,NA,NA,1
2010,7,Buster Posey,San Francisco Giants,1,C-1B-,C,205,R,R,3/27/87,"Leesburg,GA",2008,1,5,SFN,MLB,2009,2019,7,1,NA,NA,NA,NA,1
2010,8,Pedro Alvarez,Pittsburgh Pirates,1,DH-3B,3B,225,L,R,2/6/87,"New York,NY",2008,1,2,PIT,MLB,2010,2018,8,1,NA,NA,NA,NA,1
2010,10,Carlos Santana,Cleveland Indians,1,1B-DH,1B,170,B,R,4/8/86,"Santo Domingo,DR",2004,0,0,LAN,MLB,2010,2020,10,1,NA,NA,NA,NA,1
2010,12,Alcides Escobar,Milwaukee Brewers,1,SS-3B,SS,155,R,R,12/16/86,"La Sabana,VZ",2003,0,0,MIL,MLB,2008,2018,12,1,NA,NA,NA,NA,1
2010,13,Justin Smoak,Texas Rangers,2,1B-DH,1B,220,B,L,12/5/86,"Goose Creek,SC",2008,1,11,TEX,MLB,2010,2020,13,2,NA,NA,NA,NA,1
2010,16,Starlin Castro,Chicago Cubs,1,2B-3B,2B,220,R,R,3/24/90,"Monte Cristi,DR",2006,0,0,CHN,MLB,2010,2020,16,1,NA,NA,NA,NA,1
2010,20,Logan Morrison,Florida Marlins,2,1B-DH,1B,245,L,L,8/25/87,"Kansas City,MO",2005,22,666,MIA,MLB,2010,2020,20,2,NA,NA,NA,NA,1
2010,27,Brett Wallace,Toronto Blue Jays,---,1B-3B,1B,235,L,R,8/26/86,"Marin,CA",2008,1,13,SLN,MLB,2010,2016,27,NA,NA,NA,NA,NA,1
2010,30,Michael Saunders,Seattle Mariners,2,RF-LF,RF,205,L,R,11/19/86,"Victoria,BC",2004,11,333,SEA,MLB,2009,2017,30,2,NA,NA,NA,NA,1
2010,41,Jason Castro,Houston Astros,1,C,C,210,L,R,6/18/87,"Castro Valley,CA",2008,1,10,HOU,MLB,2010,2020,41,1,NA,NA,NA,NA,1
2010,43,Todd Frazier,Cincinnati Reds,1,3B-1B,3B,215,R,R,2/12/86,"Toms River,NJ",2007,1,34,CIN,MLB,2011,2020,43,1,NA,NA,NA,NA,1
2010,54,Reid Brignac,Tampa Bay Rays,5,SS-2B,SS,170,L,R,1/16/86,"St. Amant,LA",2004,2,45,TBA,MLB,2008,2016,54,5,NA,NA,NA,NA,1
2010,60,Tyler Flowers,Chicago White Sox,2,C-DH,C,260,R,R,1/24/86,"Roswell,GA",2005,33,1007,ATL,MLB,2009,2020,60,2,NA,NA,NA,NA,1
2010,62,Ike Davis,New York Mets,4,1B-P,1B,215,L,L,3/22/87,"Edina,MN",2008,1,18,NYN,MLB,2010,2016,62,4,NA,NA,NA,NA,1
2010,67,Tim Beckham,Tampa Bay Rays,6,SS-3B,SS,188,R,R,1/27/90,"Griffin,GA",2008,1,1,TBA,MLB,2013,2019,67,6,NA,NA,NA,NA,1
2010,70,Josh Vitters,Chicago Cubs,3,3B-LF,3B,200,R,R,8/27/89,"Anaheim,CA",2007,1,3,CHN,MLB,2012,2012,70,3,NA,NA,NA,NA,1
2010,75,Josh Reddick,Boston Red Sox,3,RF-OF,RF,180,L,R,2/19/87,"Guyton,GA",2006,17,523,BOS,MLB,2009,2020,75,3,NA,NA,NA,NA,1
2010,76,Austin Jackson,Detroit Tigers,3,OF-CF,CF,185,R,R,2/1/87,"Denton,TX",2005,8,259,NYA,MLB,2010,2018,76,3,NA,NA,NA,NA,1
