Player Name,List_Year,Rk,R,Rookie_Year,Rookie_IP,Rookie_WAR,Rookie_FIP,Year2,Y2_IP,Y2_WAR,Y2_FIP,Year3,Y3_IP,Y3_WAR,Y3_FIP,Team Name,Team Rank,Pos,Pos2,Wt,Bats,Throws,Born Date,Place Of Birth,DraftYear,Round,Pick,Team,HiLvl,LastMLBSeasonToDate,BATop100,BATeam,BPTop100,FGTop100,MLBPipelineTop100,MLBPipelineTeam,Made_MLB
Stephen Strasburg,2010,2,2010,2010,68,2.08,2.3,2011,24,1.1,1.28,2012,159.1,4,2.82,Washington Nationals,1,P,P,220,R,R,7/20/88,"San Diego,CA",2009,1,1,WAS,MLB,2020,2,1,NA,NA,NA,NA,1
Matt Moore,2012,2,2011,2012,177.1,2.4,3.93,2013,150.1,1.7,3.95,2014,10,0,4.73,Tampa Bay Rays,1,P,P,200,L,L,6/18/89,"Fort Walton Beach,FL",2007,8,245,TBA,MLB,2019,2,1,NA,NA,NA,NA,1
Yu Darvish,2012,4,2012,2012,191.1,4.7,3.29,2013,209.2,4.6,3.28,2014,144.1,3.5,2.84,Texas Rangers,1,P,P,190,R,R,8/16/86,"Osaka,JP",2012,0,0,TEX,MLB,2020,4,1,NA,NA,NA,NA,1
Masahiro Tanaka,2014,4,2014,2014,,,,2015,,,,2016,,,,New York Yankees,---,P,P,205,R,R,11/1/88,"Itami,JP",2014,0,0,NYA,MLB,2020,4,NA,NA,NA,NA,NA,1
Julio Urias,2016,4,2016,2016,,,,2017,,,,2018,,,,Los Angeles Dodgers,2,P,P,160,L,L,8/12/96,"Culiacan,MX",2012,0,0,LAN,MLB,2020,4,2,4,2,NA,NA,1
Jose Fernandez,2013,5,2013,2013,,,,2014,,,,2015,,,,Miami Marlins,1,P,P,215,R,R,7/31/92,"Tampa,FL",2011,1,14,MIA,MLB,2016,5,1,NA,NA,NA,NA,1
Brian Matusz,2010,5,2009,2010,,,,2011,,,,2012,,,,Baltimore Orioles,1,P,P,200,L,L,2/11/87,"Grand Junction,CO",2008,1,4,BAL,MLB,2016,5,1,NA,NA,NA,NA,1
Jeremy Hellickson,2011,6,2010,2011,,,,2012,,,,2013,,,,Tampa Bay Rays,1,P,P,185,R,R,4/8/87,"Des Moines,IA",2005,4,118,TBA,MLB,2019,6,1,NA,NA,NA,NA,1
Shelby Miller,2013,6,2012,2013,,,,2014,,,,2015,,,,St. Louis Cardinals,2,P,P,195,R,R,10/10/90,"Brownwood,TX",2009,1,19,SLN,MLB,2019,6,2,NA,NA,NA,NA,1
Gerrit Cole,2013,7,2013,2013,,,,2014,,,,2015,,,,Pittsburgh Pirates,1,P,P,215,R,R,9/8/90,"Newport Beach,CA",2011,1,1,PIT,MLB,2020,7,1,NA,NA,NA,NA,1
Aroldis Chapman,2011,7,2010,2011,,,,2012,,,,2013,,,,Cincinnati Reds,1,P,P,185,L,L,2/28/88,"Holguin,CU",2010,0,0,CIN,MLB,2020,7,1,NA,NA,NA,NA,1
Archie Bradley,2014,9,2015,2015,,,,2016,,,,2017,,,,Arizona Diamondbacks,1,P,P,225,R,R,8/10/92,"Broken Arrow,OK",2011,1,7,ARI,MLB,2020,9,1,NA,NA,NA,NA,1
Neftali Feliz,2010,9,2009,2010,,,,2011,,,,2012,,,,Texas Rangers,1,P,P,180,R,R,5/2/88,"Azua,DR",2005,0,0,ATL,MLB,2017,9,1,NA,NA,NA,NA,1
Zack Wheeler,2013,11,2013,2013,,,,2014,,,,2015,,,,New York Mets,1,P,P,180,R,R,5/30/90,"Dallas,GA",2009,1,6,SFN,MLB,2020,11,1,NA,NA,NA,NA,1
Noah Syndergaard,2015,11,2015,2015,,,,2016,,,,2017,,,,New York Mets,1,P,P,200,L,R,8/29/92,"Mansfield,TX",2010,1,38,TOR,MLB,2019,11,1,NA,NA,NA,NA,1
Taijuan Walker,2014,11,2013,2014,,,,2015,,,,2016,,,,Seattle Mariners,1,P,P,195,R,R,8/13/92,"Yucaipa,CA",2010,1,43,SEA,MLB,2020,11,1,NA,NA,NA,NA,1
Blake Snell,2016,12,2016,2016,,,,2017,,,,2018,,,,Tampa Bay Rays,1,P,P,180,L,L,12/4/92,"Seattle,WA",2011,1,52,TBA,MLB,2020,12,1,14,1,NA,NA,1
Tyler Skaggs,2013,12,2012,2013,,,,2014,,,,2015,,,,Arizona Diamondbacks,1,P,P,180,L,L,7/13/91,"Venice,CA",2009,1,40,ANA,MLB,2019,12,1,NA,NA,NA,NA,1
Steven Matz,2016,13,2015,2016,,,,2017,,,,2018,,,,New York Mets,1,P,P,192,R,L,5/29/91,"Stony Brook,NY",2009,2,72,NYN,MLB,2020,13,1,15,1,NA,NA,1
Madison Bumgarner,2010,14,2009,2010,,,,2011,,,,2012,,,,San Francisco Giants,2,P,P,255,R,L,8/1/89,"Hudson,NC",2007,1,10,SFN,MLB,2020,14,2,NA,NA,NA,NA,1
Carlos Rodon,2015,15,2015,2015,,,,2016,,,,2017,,,,Chicago White Sox,1,P,P,234,L,L,12/10/92,"Miami,FL",2014,1,3,CHA,MLB,2020,15,1,NA,NA,NA,NA,1
Francis Martes,2017,15,2017,2017,,,,2018,,,,2019,,,,Houston Astros,1,P,P,170,R,R,11/24/95,"Cotui,DR",2012,0,0,MIA,MLB,2017,15,1,20,1,NA,NA,1
Michael Pineda,2011,16,2011,2011,,,,2012,,,,2013,,,,Seattle Mariners,2,P,P,180,R,R,1/18/89,"San Cristobal,DR",2005,0,0,SEA,MLB,2020,16,2,NA,NA,NA,NA,1
John Lamb,2011,18,2015,2015,49.2,0.6,4.16,2016,70,0.4,5.46,2017,10,7.36,-0.2,Kansas City Royals,4,P,P,185,L,L,7/10/90,"Laguna Hills,CA",2008,5,145,KCA,MLB,2018,18,4,NA,NA,NA,NA,1
Daniel Norris,2015,18,2014,2015,,,,2016,,,,2017,,,,Toronto Blue Jays,1,P,P,180,L,L,4/25/93,"Johnson City,TN",2011,2,74,TOR,MLB,2020,18,1,NA,NA,NA,NA,1
Chris Sale,2011,20,2010,2011,,,,2012,,,,2013,,,,Chicago White Sox,1,P,P,183,L,L,3/30/89,"Lakeland,FL",2010,1,13,CHA,MLB,2019,20,1,NA,NA,NA,NA,1
Kevin Gausman,2014,20,2013,2014,,,,2015,,,,2016,,,,Cincinnati Reds,2,P,P,170,L,R,1/6/91,"Centennial,CO",2012,1,4,BAL,MLB,2020,20,2,NA,NA,NA,NA,1
Jacob Turner,2012,22,2011,2012,,,,2013,,,,2014,,,,Detroit Tigers,1,P,P,205,R,R,5/21/91,"St. Charles,MO",2009,1,9,DET,MLB,2018,22,1,NA,NA,NA,NA,1
