Name,Team Name,BA_Pos,Position,Bats,Throws,List_Year,BA_Rank,Made_MLB,RookieYear,RookieYear2,WAR,Year2,WAR_Year2,Year3,WAR_Year3,Total_WAR,Group
Kris Bryant,Chicago Cubs,3B-RF,3B,R,R,2015,1,1,2015,2015,6.1,2016,7.9,2017,6.7,20.7,Top 10
Corey Seager,Los Angeles Dodgers,SS,SS,L,R,2016,1,1,2015,2016,6.9,2017,6,2018,0.5,13.4,Top 10
Jason Heyward,Atlanta Braves,RF-OF,RF,L,L,2010,1,1,2010,2010,4.6,2011,1.9,2012,5.3,11.8,Top 10
Bryce Harper,Washington Nationals,RF-OF,RF,L,R,2012,1,1,2012,2012,4.4,2013,4.1,2014,1.6,10.1,Top 10
Andrew Benintendi,Boston Red Sox,LF-OF,LF,L,L,2017,1,1,2016,2017,2,2018,4.4,2019,2,8.4,Top 10
Jurickson Profar,Texas Rangers,2B-SS,2B,B,R,2013,1,1,2012,2013,-0.2,2014,,2015,,-0.2,Top 10
Xander Bogaerts,Boston Red Sox,SS-DH,SS,R,R,2014,2,1,2013,2014,0.1,2015,4.6,2016,4.9,9.6,Top 10
Yoan Moncada,Chicago White Sox,2B-3B,2B,B,R,2017,2,1,2016,2017,1.1,2018,2.1,2019,5.7,8.9,Top 10
Byron Buxton,Minnesota Twins,CF-OF,CF,R,R,2016,2,1,2015,2016,1.5,2017,3.6,2018,-0.3,4.8,Top 10
Mike Trout,Los Angeles Angels,CF-OF,CF,R,R,2012,3,1,2011,2012,10.1,2013,10.2,2014,8.3,28.6,Top 10
Giancarlo Stanton,Florida Marlins,DH-OF,RF,R,R,2010,3,1,2010,2010,2.6,2011,4.2,2012,5,11.8,Top 10
Addison Russell,Chicago Cubs,SS-2B,SS,R,R,2015,3,1,2015,2015,2.6,2016,3.3,2017,1.5,7.4,Top 10
Dansby Swanson,Atlanta Braves,SS,SS,R,R,2017,3,1,2016,2016,0.8,2017,-0.2,2018,1.9,2.5,Top 10
